s_ph,s_temp,s_do,s_turbidity,index_heure
0.05884,-0.1333,-0.2183,-3.559,283
-0.2107,0.1647,-0.1062,-0.5317,284
0.1234,0.001016,0.409,2.562,285
0.0791,-0.1501,-0.346,-0.8794,286
-0.2074,0.1321,-0.05396,-0.1146,287
0.1654,0.03348,0.3767,-1.408,288
0.03693,-0.1126,-0.3042,2.424,289
-0.2399,0.06055,0.002892,-0.6704,290
0.2349,0.04044,0.151,-2.639,291
0.01476,-0.03568,-0.0679,3.967,292
-0.2578,-0.01671,0.01146,-1.405,293
0.2076,0.01404,-0.1285,-3.201,294
0.08295,0.04965,0.1703,5.21,295
-0.2632,-0.0702,0.1168,-1.111,296
0.12286,-0.006878,-0.476,-4.223,297
0.1625,0.0749,0.3503,3.246,298
-0.2666,-0.0518,0.2267,2.426,299
0.08154,-0.03006,-0.627,-5.25,300
0.1741,0.02217,0.41,1.398,301
-0.2191,0.02673,0.1858,4.785,302
0.03305,-0.0142,-0.4663,-5.926,303
0.1475,-0.06107,0.2264,0.3608,304
-0.152,0.0627,0.0818,5.715,305
0.03836,0.011375,-0.1242,-4.855,306
0.0933,-0.1099,0.0509,-1.504,307
-0.185,0.0734,-0.1006,5.32,308
0.1737,0.05554,0.1764,-2.58,309
-0.0267,-0.07935,-0.056,-3.1,310
-0.1946,0.00959,-0.2183,5.11,311
0.3118,0.07336,0.298,-1.246,312
-0.1501,-0.03214,0.003077,-3.59,313
-0.2041,-0.0558,-0.3367,4.125,314
0.3884,0.0823,0.2281,-1.134,315
-0.175,0.00672,0.2198,-1.268,316
-0.1794,-0.0802,-0.3823,0.2712,317
0.2803,0.0717,0.0672,0.965,318
-0.1166,0.017,0.2793,1.561,319
-0.05402,-0.1018,-0.318,-4.617,320
0.08777,0.0979,0.1083,2.975,321
-0.0672,0.01056,0.1359,3.293,322
0.0573,-0.1498,-0.2345,-7.39,323
-0.01363,0.1339,0.1495,4.223,324
-0.0885,0.00838,-0.02013,2.115,325
0.1235,-0.1392,-0.1285,-4.895,326
0.03069,0.1027,0.307,2.555,327
-0.1975,0.01785,-0.2295,0.8286,328
0.1312,-0.12134,-0.2162,-0.62,329
0.108,0.0672,0.5547,-1.042,330
-0.2054,0.0367,-0.3245,-0.4148,331
0.04764,-0.0483,-0.269,2.678,332
0.1268,0.02519,0.6113,-1.517,333
-0.0972,-0.005917,-0.3425,-1.99,334
-0.04343,0.004723,-0.2627,3.059,335
0.0775,0.03943,0.5347,0.65,336
0.03195,-0.05344,-0.2096,-4.19,337
-0.1035,0.02145,-0.2517,2.117,338
0.02785,0.07336,0.2413,2.504,339
0.06415,-0.0997,0.09845,-3.287,340
-0.084,0.03732,-0.1891,-0.1208,341
0.0484,0.0652,-0.1152,2.277,342
0.003359,-0.1099,0.4502,-0.408,343
-0.05383,0.0631,-0.3486,-1.535,344
0.0884,0.01903,-0.1305,-0.0626,345
-0.0554,-0.11383,0.512,2.885,346
-0.0349,0.1109,-0.4177,-2.46,347
0.06287,-0.01399,-5.44e-05,-1.329,348
-0.03503,-0.12384,0.3142,4.21,349
0.04184,0.1186,-0.3164,-2.809,350
-0.046,-0.008865,0.11475,-1.538,351
-0.006138,-0.09296,0.05136,4.18,352
0.10596,0.0641,-0.1344,-2.393,353
-0.1317,0.002522,0.1376,-1.689,354
0.003088,0.00094,-0.0676,3.383,355
0.1522,-0.00792,-0.05536,-1.376,356
-0.1534,-0.014046,0.1603,-1.369,357
0.0004323,0.0808,-0.1197,2.0,358
0.1367,-0.03586,-0.1222,-0.755,359
-0.1135,-0.05103,0.314,0.002941,360
-0.01897,0.08234,-0.1472,0.02173,361
0.09467,-0.009705,-0.2439,-0.904,362
-0.0757,-0.0604,0.443,1.721,363
0.02989,0.02063,-0.1738,-0.8877,364
0.03217,0.0487,-0.25,-0.7744,365
-0.06125,-0.04083,0.3308,1.524,366
0.02507,-0.02466,-0.066,-0.3271,367
-0.00443,0.06793,-0.1494,-1.15,368
0.006447,-0.02551,0.03842,0.919,369
0.01206,-0.05026,0.1326,-0.2014,370
-0.05582,0.06506,-0.0665,0.07855,371
0.05783,-0.0439,-0.1482,0.887,372
-0.007275,-0.02916,0.2162,-2.84,373
-0.01559,0.0714,-0.01491,2.283,374
0.00969,-0.0668,-0.2336,2.158,375
-0.04666,-0.0196,0.1746,-5.312,376
0.1226,0.06137,0.1268,3.182,377
-0.11444,-0.0442,-0.229,1.525,378
-0.06116,0.01155,0.05902,-4.805,379
0.2742,0.013535,0.16,4.656,380
-0.2367,-0.01712,-0.1974,-1.33,381
-0.0805,0.03418,0.06046,-3.02,382
0.3376,-0.007725,0.1368,5.656,383
-0.2421,0.003323,-0.2744,-4.11,384
-0.0804,0.03455,0.1843,-0.703,385
0.2466,-0.02432,0.10956,4.414,386
-0.1353,-0.02452,-0.3594,-2.842,387
-0.0376,0.05792,0.2917,-2.35,388
0.06183,-0.001374,0.1278,3.629,389
0.003258,-0.0636,-0.4778,1.34,390
0.01726,0.00613,0.2898,-5.805,391
-0.0968,0.1106,0.2487,3.133,392
0.0677,-0.0967,-0.552,3.482,393
0.0702,-0.1047,0.3179,-5.883,394
-0.1285,0.2152,0.1267,2.18,395
0.0401,-0.09625,-0.3628,2.342,396
0.04724,-0.1794,0.3198,-3.012,397
-0.01663,0.2515,-0.09955,1.553,398
-0.04413,-0.0701,-0.1292,-0.724,399
0.02101,-0.1787,0.3037,0.1764,400
0.06036,0.1981,-0.361,1.365,401
-0.0872,-0.03485,0.1371,-3.342,402
-0.0004365,-0.07733,0.2776,2.91,403
0.11145,0.0866,-0.4365,0.3477,404
-0.1263,-0.01694,0.1646,-3.045,405
0.04684,0.00414,0.1583,2.6,406
0.05573,0.01923,-0.1357,-0.239,407
-0.1333,-0.001233,-0.08386,-1.928,408
0.1208,-0.01308,0.0843,2.66,409
0.0004323,0.0308,0.1294,-1.339,410
-0.1115,0.00139,-0.3022,-1.136,411
0.0785,-0.07166,0.216,3.2,412
0.0429,0.0795,0.1393,-2.79,413
-0.0865,0.006893,-0.3806,0.4602,414
0.02118,-0.0909,0.252,1.382,415
0.04922,0.0681,0.05246,-1.98,416
-0.02856,0.014275,-0.2708,1.611,417
-0.03278,-0.0742,0.3093,-1.419,418
0.03543,0.0639,-0.1804,1.086,419
-0.00485,-0.03604,-0.05927,0.8413,420
0.02295,-0.02003,0.2595,-3.553,421
-0.05203,0.05826,-0.2064,4.234,422
